"LocationID","Warehouse","fulfillment_center","Region","Country","address","Storage_capacity","Inventory_movement_history","peak_season_storage"
"8e7be99c-1e54-45ee-b941-22a6ff46a266","BVA1 - Amazon Boves","Senlis","Boves","France","Jules Verne Business Park, 80440 Boves","6006","207","4364"
"1135f8fc-c7d6-4426-bc69-eaeae2399987","BER3 - Amazon Brieselang","Graben","Havelland","Germany","Havellandstr. 5, 14656 Brieselang","5754","168","4823"
"8b46bfc8-b0d5-4f36-bfac-fe95df1f0bda","FCO1 - Amazon Passo Corese","Arquà Polesine","Lazio","Italy","Via della Meccanica, 4, 02032 Passo Corese","8755","157","1186"
"377ddb1d-319d-49ca-b85f-d82edc1df69d","NYC1 - Amazon New York City","Boston","New York","United States of America","Manhattan West, 10021 New York","8916","179","2899"
"59077d23-ebe7-4030-97ff-fedb7f2bb108","CWL1 - Amazon Swansea","Hemel Hempstead","Galles","United Kingdom","Fford Amazon, SA1 8QX Crymlyn Burrows, Swansea","7914","229","4115"
"a12e65af-9d4f-46fb-89e3-89444b778fae","HOU2 - Amazon Houston","Austin","Texas","United States of America","10550 Ella Blvd., 77038 Houston","6417","135","1201"
"85e59a1c-6a9e-4500-8e08-84f5c92a131e","BCN1 - Amazon El Prat de Llobregat","Martorelles","Catalunya","Spain","Avigunda De les Garrigues 6-8, 08820 El Prat de Llobregat, Barcelona","3185","240","2265"
"d627d275-7a34-4a2c-9d72-a55ec3086563","LAS7 - Amazon Las Vegas","Carson City","Nevada","United States of America","6001 East Tropical Parkway, 89115 Las Vegas","6923","130","4705"
"f1078e60-88cd-48c9-91e7-494a2d60c4ea","DUS2 - Amazon Rheinberg","Graben","Dusseldurf","Germany","Amazonstrasse 1 / Alte Landstrasse, 47495 Rheinberg","3756","222","1588"
"72b5ea7c-5102-4795-a48a-c047b98f3613","SYD1 - Amazon Sidney","Melbourne","South Galles","Australia","26/9 Powells Road, Brookvale New South Wales 2100","7067","121","5678"
"0cdcca8a-0dc7-4fb9-bf0a-eb7ca7173d27","CAI1 - Amazon El Cairo","El Cairo","Giza","Egypt","Cairo 11745, Cairo","4348","140","3518"
"1652c069-b85d-4f35-b456-893ae1c0e6da","LCY1 - Amazon London","London","London","United Kingdom","Unit B - Prologis Park, Twelvetrees Crescent, E3 3JG London","8519","153","8365"
"7b830b22-e740-4a8e-9489-1eb41293bab7","SHA1 - Amazon Shanghai","Shanghai","Shanghai","China","Fanghua Rd, 850, Pudong, Shanghai","8216","227","4574"
"fdd1ebef-285e-410c-84b4-3b81f9233ddc","MXP5 - Amazon Castel San Giovanni","Arquà Polesine","Emilia Romagna","Italy","Strada Dogana Po 2U, 29015 Castel San Giovanni","8895","125","6207"
"a07620eb-e72a-411f-a827-54741064117e","TOR1 - Amazon Toronto","Toronto","Ontario","Canada","120 Bremner Blvd, Toronto","4672","160","1821"
"9f579999-cd43-4799-bf85-59fdec83dd97","BUE1 - Amazon Buenos Aires","Montevideo","Pampa","Argentina","Cecilia Grieson 225, Buenos Aires","8896","141","1676"
"ad852a05-30d4-4fe4-a77a-0eff21deab32","BOG2 - Amazon Bogota","Medellin","Bogota","Columbia","Ac. 26 #92-32, Bogota","5049","194","1046"
"0b5ae265-82a9-4b11-b114-b71ffa4a28d7","ORY1 - Amazon Saran","Senlis","Loira","France","1401 rue du Champ Rouge, 45770 Saran","6859","163","5915"
"d7fab477-f6e4-4fc4-8168-b7621a75d33c","MXC2 - Amazon Mexico City","Bernal","Mexico Valley","Mexico","C. del Fresno 376, Atlampa, Cuauhtémoc, 06450 Ciudad de México","5176","107","1710"
"05d83695-e0f0-44b1-9aad-785f0a33f0ff","SAP1 - Amazon San Paolo","San Paolo","San Paolo","Brasil","Av. Brigadeiro Faria Lima 2232, San Paolo","6213","232","3649"
"34e35c58-05e5-4c92-b3c9-de0ee280bc5e","MIS1 - Amazon Mississauga","Montreal","Ontario","Canada","Amazon Canada Fulfillment Services, Inc., 6363 Millcreek Dr, Mississauga","8329","228","7346"
"b6dfc875-a915-4fc7-b383-cd638abcd6b6","HKG1 - Amazon Hong Kong","Kwai Chung","Hong Kong","Hong Kong","535 Jaffe Rd, Causeway Bay, Hong Kong","8559","102","1064"
"14c54aaf-df56-4c78-b56c-e4fbed6e158d","POZ1 - Amazon Sady","Sosnowiec","Nowy Dwor","Poland","Poznanska 1d, 62-080 Sady","6591","237","5496"
"42476ddb-9417-4879-ba55-836332f5f21a","DUB19 - Amazon Dublin","Swords","Dublin","Ireland","Block 2 Charlemont St, Charlemont Row, Saint Kevin's, Dublin","4064","175","2002"
"2958a433-8f33-488b-93e0-cccd359ffe05","MIA1 - Amazon Miami","Lakeland","Florida","United States of America","1900 NW 132nd Place Doral, 33182 Miami","9455","115","7783"
"b6ce97e5-abb8-4448-a70c-c3d4d2dfc48a","DEH8 - Amazon Den Haag","Rotterdam","Aia","Netherlands","Johanna Westerdijkplein 1, 2521 EN Den Haag","7660","201","3670"
"d7def82e-568b-41bf-bdaa-6dacc640d7b8","LUX16 - Amazon Luxemburg","Frankfourt","Luxemburg","Luxemburg","16 Rue Edward Steichen, 2540 Neudorf-Weimershof Luxembourg","6710","211","2929"
"d68ba235-05e3-4cf3-8123-814631425034","CGN1 - Amazon Koblenz","Graben","Reno","Germany","Amazonstrasse 1 / Industriepark A61, 56330 Kobern-Gondorf","5339","131","3946"
"6e2c115b-b94f-46fe-af54-4ce8762a1222","BRX2 - Amazon Bruxelles","Grimbergen","Bruxelles","Belgium","Nieuwbrugstraat 68, 1830 Machelen","4095","118","2211"
"6c83549f-b4b7-4707-b21b-2ecf1d1b425d","NDH1  - Amazon New Delhi","Rohtak","Delhi","India","Khasara Number -216, near by Triveni Apartmens, Maidan Garhi, Delhi 110068","9530","107","3839"
"e707c785-9c8b-47a3-b40a-af785e4e3772","CPN3 - Amazon Copenaghen","Odense","Copenaghen","Denmark","Jyllingevej 66, 2720 København","7948","117","4319"
"8f85ef91-44b4-4408-a7f8-9ef9692be610","WEL1 - Amazon Wels","Salisburg","Linz","Austria","Wiesenstraße 60a, 4600 Wels","8432","197","8161"
"07b0abd8-cf0d-46a7-9287-315fa0b094cf","MAN1 - Amazon Manchester","Manchester","Manchester","United Kingdom","6 Sunbank Lane, Airport City, M90 5AA Altrincham, Manchester","8737","210","2437"
"873488ba-49e7-42d0-bf8d-40103ebdb8e3","TKY6 - Amazon Tokyo","Shizuoka","Yokohama","Japan","Giappone, 〒183-8570 Tokyo, Fuchu, Yotsuya","7125","117","2562"
"5625ea04-8795-45f5-bf37-fede07a8dcb2","LIS3 - Amazon Lisbon","Fatima","Amadora","Portugal","R. Castilho 52, 1250-071 Lisboa, Portogallo","7551","139","4380"
"260cef82-a602-45df-8cba-de58345bed31","ZRH13 - Amazon Zurich","Turin","Zurich Canton","Switzerland","Bleicherweg 10, 8002 Zürich, Svizzera","6775","158","5842"
"8a3a92c0-1d09-4536-8204-27299cd7d02e","MRS1 - Amazon Montelimar","Senlis","Alvernia Rodano Alpi","France","Building II ZAC Les Portes de Provence, 26200 Montelimar","8090","207","6822"
"8d6af491-c231-4a38-a2da-329c306a9f6d","SAD1 - Amazon San Diego","Los Angeles","California","United States of America","2040 Imperial Ave Ste 4, San Diego, CA 92102","8962","110","6759"
"964684ab-c239-418e-ab0b-3e70219bff82","CPT2 - Amazon Capetown","Stellenbosh","Capetown","South Africa","Wembley Square 2, 134 Solan Rd, Gardens, Cape Town, 8001","4120","181","1515"
"94db02ea-2eff-4cbd-87f7-9c98d7b0872c","PHX7 - Amazon Phoenix","Tucson","Arizona","United States of America","3333 S 7th St, Phoenix, AZ 85040","7268","235","1457"
"8127b8a4-85ac-45a5-adad-56e06f0e7edd","SVQ1 - Amazon Sevilla","Martorelles","Andalusia","Spain","Poligono Sen 22, Sevilla, 41703 Dos Hermanas","5430","160","1881"
"c460539f-ca30-4ce2-ade9-a8d059b0e22e","BCR2 - Amazon Bucarest","Ploiesti","Bucarest","Romania","Bulevardul Dimitrie Pompeiu 4-6 Globalworth Campus, Cladirea A, Etaj 11, București 020337","9414","112","3822"
"5bdcbc74-3796-4170-8a51-6aead583aba6","CHI1 - Amazon Chicago","Detroid","Illinois","United States of America","1010 W Webster Ave, Chicago, IL 60614","5923","194","1918"
"386ec5b0-c2b4-428f-bd16-c0c82c0ebe5b","BER6 - Amazon Berlin","Rheinberg","Brandeburgo","Germany","Amazon Logistik AF München GmbH, Am Borsigturm 100, 13507 Berlin","6350","140","2989"
"8eb11c84-698c-4040-9af2-59e7d9e487ae","DBA1 - Amazon Dubai","Dubai","Dubai","Emirates United States","Inside Eppco Petrol Station, Sheikh Zayed Road Towards, Dubai","9183","218","6849"
