"SupplierID","SupplierName","Lead_time","Dropshipping_capability","quality_control_rank","Lead_time_variabilty"
"cf79ca0e-e705-442b-8c0f-a4869299c599","Aufderhar Group","6","34","4","1"
"073f7754-c348-4989-baa8-47a390fd71e9","Hauck - Frami","9","4","4","1"
"3af86c34-ca81-47aa-8934-5b7a1721e349","Sipes Group","7","39","6","2"
"7f43c993-a557-4200-a1ca-41b2df8c93ec","Cormier - Torphy","4","20","9","2"
"dddec9b4-7c22-43bd-8e11-3c07c83ac228","Gottlieb Inc","9","33","1","2"
"3c6bbe93-f49b-40eb-977b-7fb02d1274f1","Christiansen, Von and Johnston","10","32","7","1"
"f4cc8ef3-52e7-4514-ad6e-e5b8875af014","Schinner and Sons","7","31","7","1"
"22e4c493-abc5-4869-8039-6ff6c09f163c","Bergnaum Group","8","15","7","2"
"8da22207-72cc-495a-964d-914beeeafb9f","Hickle, Cummerata and Keeling","3","37","2","1"
"46280688-0440-4de4-8ebb-c37f433ac1f4","Bode - Hintz","9","41","5","1"
"86aa380e-0721-4568-8c9c-876adeab0c54","Harris, Kuhlman and Altenwerth","8","46","1","2"
"6dd0baa0-046d-47b5-998a-518343dc988b","Johns Inc","3","8","10","1"
"af709cbe-63f4-4819-af9e-471a9228dea7","Ledner Group","5","42","6","1"
"f0d6ad2b-ddbb-49ae-a2ff-ceae93a12d00","Gusikowski - McDermott","5","27","7","1"
"4f9a9646-52d2-443f-9a8f-7cc013a75c7a","Lynch - Romaguera","3","46","5","1"
"b1845b06-d8fe-428b-bcd2-0b589ae82e8b","Yost Group","2","4","2","1"
"4f069ef3-a86a-4c1f-8073-cbb4a99528da","Zemlak, Dickens and Koelpin","7","21","9","2"
"98f1dc24-a52d-4f19-983d-ccf893e6c4aa","Price LLC","6","39","4","2"
"0bcff1f4-88f2-4dd8-8a74-c397fcbb1b18","Kautzer - Harvey","5","45","8","1"
"41d20540-47b9-4841-912b-916ff8a730bf","Hansen - Hickle","5","44","1","1"
"92093df9-21d6-4f83-9a15-d4ea597a5edd","Rice - Herzog","10","27","3","2"
"006add4e-27fb-4a85-890b-16d3a1133bbc","Walter, Homenick and Swift","8","33","7","2"
"6feeb078-cadf-41c9-bd41-7d0aea718f14","Goldner, Kemmer and MacGyver","9","38","5","1"
"b02cd4ed-5e2f-486f-baba-cb35ad14ca78","Fadel, Wehner and Sauer","6","6","9","2"
"cc050ffd-d533-4e93-8fe5-94335104dc0c","Jakubowski, Hermiston and Reynolds","8","39","7","2"
"92dc54c9-cbca-4c62-9ec3-bb75b9dce62e","Hahn - Satterfield","8","22","2","2"
"49c924d2-a479-43ad-84dd-cfdbbae6cbdb","Mertz - Nicolas","3","4","4","2"
"6599debe-7331-4533-a6e2-de06396ae55a","Lueilwitz Group","7","24","9","1"
"53c1093d-ed90-486c-8621-6f96c803d30a","Smith LLC","3","44","2","2"
"e06f0fcb-2e86-4248-9bc0-f254429beb21","Strosin and Sons","2","15","4","2"
"770654ae-5338-40ea-89d4-6b00e597dbdb","Gottlieb - Schimmel","3","45","8","2"
"e29662a9-8e80-43e3-bf5b-7859368b3945","Hermiston and Sons","9","44","2","1"
"489a8c79-ec07-4872-8af4-6eb1ae122443","Conroy, Mills and Davis","6","30","9","2"
"28edd470-f1d5-4e6d-8be8-6f47b2e00397","Hane LLC","9","43","4","2"
"cb16092e-ed02-4c87-9f46-c43bc7cecbbe","Marks - Gusikowski","5","38","8","2"
"afa71499-7a93-4964-a62b-9142d958012e","Reichert, Koch and Effertz","5","20","5","2"
"3904f5d2-a10e-44a4-87d2-3dfde60cd607","Schuppe, Bayer and Glover","4","18","9","2"
"e7e14ca0-d307-4f17-966a-8c0c40b622cd","Robel LLC","4","10","10","2"
"3b310cad-60ee-46e0-8875-257df448e423","Herman - Schulist","5","22","10","2"
"eb31c9aa-b3e2-44d8-b819-409a5e9b3eca","Heaney and Sons","10","5","3","2"
"a1821194-d2ca-4c40-8472-07abe658e6a5","Becker - Ledner","6","49","8","1"
"ce6620fc-feab-4326-a3e3-54fd583ce6d2","Larson LLC","5","9","3","2"
"3142e7f9-de1c-4bab-bb4a-fa149b903638","Rippin and Sons","3","26","6","1"
"514849ea-bb1d-42e2-ac79-724274d520af","Walker - Dickinson","5","30","5","2"
"cab8c1bd-6e18-46ac-abcf-1dc8f468b20e","Prosacco, Feest and Kuphal","4","49","3","2"
"e92e0fd6-834c-424c-b712-ecf823f8f163","Heller, Grimes and Runte","8","8","4","2"
"d2d1be59-cbbb-44a8-9b81-9e5782308b84","Hettinger - Watsica","8","48","3","1"
"b8e337d6-2c44-4720-b0dd-ed91cfe27aef","Mraz, Stokes and Greenholt","4","14","8","1"
"23672902-6f24-4ec4-8633-44f81b7fedd5","Rau LLC","4","25","5","2"
"435c7728-2573-4d88-aad0-431c11c77438","Nolan, Oberbrunner and Goldner","3","22","9","1"
