date;time_of_the_day;week day;weekday_weekend;month;quarter;semester;season;year;peak_shopping_time;promotional_period;order_processing_time;return_period
01/01/2023;22:01:11;1;Workday;1;First;First;Winter;2023;13:24:15;Winter Sales;10;2
02/01/2023;22:05:02;2;Workday;1;First;First;Winter;2023;13:40:58;Winter Sales;8;8
03/01/2023;23:08:08;3;Workday;1;First;First;Winter;2023;12:26:59;Winter Sales;12;1
04/01/2023;21:03:15;4;Workday;1;First;First;Winter;2023;13:55:29;Winter Sales;3;5
05/01/2023;03:03:15;5;Workday;1;First;First;Winter;2023;11:42:50;Winter Sales;15;16
06/01/2023;04:00:31;6;Weekend;1;First;First;Winter;2023;13:16:07;Winter Sales;9;3
07/01/2023;04:50:45;7;Weekend;1;First;First;Winter;2023;14:28:45;Winter Sales;17;1
08/01/2023;07:08:37;1;Workday;1;First;First;Winter;2023;13:30:48;Winter Sales;3;14
09/01/2023;14:38:34;2;Workday;1;First;First;Winter;2023;14:31:00;Winter Sales;18;5
10/01/2023;21:52:34;3;Workday;1;First;First;Winter;2023;14:01:18;Winter Sales;20;16
11/01/2023;10:35:14;4;Workday;1;First;First;Winter;2023;11:28:11;Winter Sales;10;19
12/01/2023;08:43:50;5;Workday;1;First;First;Winter;2023;14:56:22;Winter Sales;20;7
13/01/2023;11:09:02;6;Weekend;1;First;First;Winter;2023;13:41:54;Winter Sales;14;16
14/01/2023;12:22:23;7;Weekend;1;First;First;Winter;2023;13:02:41;Winter Sales;1;15
15/01/2023;18:37:59;1;Workday;1;First;First;Winter;2023;11:00:40;Winter Sales;16;6
16/01/2023;18:40:52;2;Workday;1;First;First;Winter;2023;12:39:10;Winter Sales;8;17
17/01/2023;19:51:07;3;Workday;1;First;First;Winter;2023;14:26:02;Winter Sales;18;18
18/01/2023;02:29:38;4;Workday;1;First;First;Winter;2023;14:44:07;Winter Sales;12;4
19/01/2023;08:22:14;5;Workday;1;First;First;Winter;2023;12:26:04;Winter Sales;2;8
20/01/2023;17:31:53;6;Weekend;1;First;First;Winter;2023;13:08:41;Winter Sales;17;15
21/01/2023;00:09:43;7;Weekend;1;First;First;Winter;2023;13:51:53;Winter Sales;16;17
22/01/2023;16:28:42;1;Workday;1;First;First;Winter;2023;12:34:10;Winter Sales;2;19
23/01/2023;20:47:39;2;Workday;1;First;First;Winter;2023;12:49:10;Winter Sales;4;7
24/01/2023;03:26:20;3;Workday;1;First;First;Winter;2023;12:35:52;Winter Sales;6;6
25/01/2023;18:51:45;4;Workday;1;First;First;Winter;2023;11:26:25;Winter Sales;9;19
26/01/2023;02:54:10;5;Workday;1;First;First;Winter;2023;13:41:28;Winter Sales;1;16
