"date","time_of_the_day","week day","weekday_weekend","month","quarter","semester","season","year","peak_shopping_time","promotional_period","order_processing_time","return_period"
"1/1/2023","22:01:11","1","Workday","1","First","First","Winter","2023","13:24:15","Winter Sales","10","2"
"1/2/2023","22:05:02","2","Workday","1","First","First","Winter","2023","13:40:58","Winter Sales","8","8"
"1/3/2023","23:08:08","3","Workday","1","First","First","Winter","2023","12:26:59","Winter Sales","12","1"
"1/4/2023","21:03:15","4","Workday","1","First","First","Winter","2023","13:55:29","Winter Sales","3","5"
"1/5/2023","03:03:15","5","Workday","1","First","First","Winter","2023","11:42:50","Winter Sales","15","16"
"1/6/2023","04:00:31","6","Weekend","1","First","First","Winter","2023","13:16:07","Winter Sales","9","3"
"1/7/2023","04:50:45","7","Weekend","1","First","First","Winter","2023","14:28:45","Winter Sales","17","1"
"1/8/2023","07:08:37","1","Workday","1","First","First","Winter","2023","13:30:48","Winter Sales","3","14"
"1/9/2023","14:38:34","2","Workday","1","First","First","Winter","2023","14:31:00","Winter Sales","18","5"
"1/10/2023","21:52:34","3","Workday","1","First","First","Winter","2023","14:01:18","Winter Sales","20","16"
"1/11/2023","10:35:14","4","Workday","1","First","First","Winter","2023","11:28:11","Winter Sales","10","19"
"1/12/2023","08:43:50","5","Workday","1","First","First","Winter","2023","14:56:22","Winter Sales","20","7"
"1/13/2023","11:09:02","6","Weekend","1","First","First","Winter","2023","13:41:54","Winter Sales","14","16"
"1/14/2023","12:22:23","7","Weekend","1","First","First","Winter","2023","13:02:41","Winter Sales","1","15"
"1/15/2023","18:37:59","1","Workday","1","First","First","Winter","2023","11:00:40","Winter Sales","16","6"
"1/16/2023","18:40:52","2","Workday","1","First","First","Winter","2023","12:39:10","Winter Sales","8","17"
"1/17/2023","19:51:07","3","Workday","1","First","First","Winter","2023","14:26:02","Winter Sales","18","18"
"1/18/2023","02:29:38","4","Workday","1","First","First","Winter","2023","14:44:07","Winter Sales","12","4"
"1/19/2023","08:22:14","5","Workday","1","First","First","Winter","2023","12:26:04","Winter Sales","2","8"
"1/20/2023","17:31:53","6","Weekend","1","First","First","Winter","2023","13:08:41","Winter Sales","17","15"
"1/21/2023","00:09:43","7","Weekend","1","First","First","Winter","2023","13:51:53","Winter Sales","16","17"
"1/22/2023","16:28:42","1","Workday","1","First","First","Winter","2023","12:34:10","Winter Sales","2","19"
"1/23/2023","20:47:39","2","Workday","1","First","First","Winter","2023","12:49:10","Winter Sales","4","7"
"1/24/2023","03:26:20","3","Workday","1","First","First","Winter","2023","12:35:52","Winter Sales","6","6"
"1/25/2023","18:51:45","4","Workday","1","First","First","Winter","2023","11:26:25","Winter Sales","9","19"
"1/26/2023","02:54:10","5","Workday","1","First","First","Winter","2023","13:41:28","Winter Sales","1","16"
"1/27/2023","16:59:03","6","Weekend","1","First","First","Winter","2023","11:02:10","Winter Sales","18","18"
"1/28/2023","19:24:22","7","Weekend","1","First","First","Winter","2023","11:01:31","Winter Sales","12","10"
"1/29/2023","08:52:40","1","Workday","1","First","First","Winter","2023","12:01:04","Winter Sales","1","1"
"1/30/2023","14:19:51","2","Workday","1","First","First","Winter","2023","11:55:28","Winter Sales","17","8"
"1/31/2023","22:23:23","3","Workday","1","First","First","Winter","2023","12:46:15","Winter Sales","18","4"
"2/1/2023","08:04:27","4","Workday","2","First","First","Winter","2023","12:56:28","None","6","4"
"2/2/2023","22:44:45","5","Workday","2","First","First","Winter","2023","13:47:48","None","14","12"
"2/3/2023","02:11:18","6","Weekend","2","First","First","Winter","2023","13:50:05","None","9","18"
"2/4/2023","04:56:17","7","Weekend","2","First","First","Winter","2023","13:01:38","None","19","16"
"2/5/2023","13:56:27","1","Workday","2","First","First","Winter","2023","12:22:20","None","13","17"
"2/6/2023","10:15:32","2","Workday","2","First","First","Winter","2023","12:04:03","None","9","19"
"2/7/2023","13:35:33","3","Workday","2","First","First","Winter","2023","12:38:46","None","13","11"
"2/8/2023","18:16:25","4","Workday","2","First","First","Winter","2023","14:44:59","None","16","4"
"2/9/2023","15:45:34","5","Workday","2","First","First","Winter","2023","13:53:55","None","9","14"
"2/10/2023","23:01:41","6","Weekend","2","First","First","Winter","2023","13:49:43","None","7","3"
"2/11/2023","05:06:05","7","Weekend","2","First","First","Winter","2023","12:47:42","None","13","5"
"2/12/2023","19:03:44","1","Workday","2","First","First","Winter","2023","14:18:47","None","8","13"
"2/13/2023","16:47:04","2","Workday","2","First","First","Winter","2023","11:35:06","None","12","7"
"2/14/2023","19:48:21","3","Workday","2","First","First","Winter","2023","14:18:23","None","19","4"
"2/15/2023","13:08:21","4","Workday","2","First","First","Winter","2023","11:13:56","None","13","9"
"2/16/2023","17:48:59","5","Workday","2","First","First","Winter","2023","14:20:47","None","1","10"
"2/17/2023","17:02:19","6","Weekend","2","First","First","Winter","2023","14:05:07","None","2","8"
"2/18/2023","23:10:50","7","Weekend","2","First","First","Winter","2023","11:17:18","None","18","20"
"2/19/2023","19:25:54","1","Workday","2","First","First","Winter","2023","12:13:27","None","18","10"
"2/20/2023","02:26:47","2","Workday","2","First","First","Winter","2023","14:35:02","None","10","10"
"2/21/2023","11:40:53","3","Workday","2","First","First","Winter","2023","11:06:57","None","13","5"
"2/22/2023","01:25:58","4","Workday","2","First","First","Winter","2023","14:36:34","None","11","5"
"2/23/2023","22:15:44","5","Workday","2","First","First","Winter","2023","13:13:09","None","10","1"
"2/24/2023","23:02:52","6","Weekend","2","First","First","Winter","2023","12:04:30","None","9","10"
"2/25/2023","18:58:23","7","Weekend","2","First","First","Winter","2023","11:01:12","None","7","17"
"2/26/2023","05:25:39","1","Workday","2","First","First","Winter","2023","14:01:31","None","20","16"
"2/27/2023","19:12:41","2","Workday","2","First","First","Winter","2023","12:47:28","None","9","14"
"2/28/2023","09:36:27","3","Workday","2","First","First","Winter","2023","11:14:36","None","1","4"
"3/1/2023","03:16:24","4","Workday","3","First","First","Winter","2023","13:03:27","Easter Sales","10","20"
"3/2/2023","23:25:21","5","Workday","3","First","First","Winter","2023","14:28:09","Easter Sales","16","14"
"3/3/2023","01:52:08","6","Weekend","3","First","First","Winter","2023","13:06:59","Easter Sales","4","15"
"3/4/2023","00:47:46","7","Weekend","3","First","First","Winter","2023","11:51:44","Easter Sales","20","8"
"3/5/2023","11:04:56","1","Workday","3","First","First","Winter","2023","11:43:04","Easter Sales","13","3"
"3/6/2023","11:41:05","2","Workday","3","First","First","Winter","2023","14:46:25","Easter Sales","11","18"
"3/7/2023","01:15:18","3","Workday","3","First","First","Winter","2023","14:50:22","Easter Sales","8","11"
"3/8/2023","00:47:27","4","Workday","3","First","First","Winter","2023","13:04:25","Easter Sales","17","10"
"3/9/2023","17:12:40","5","Workday","3","First","First","Winter","2023","14:08:58","Easter Sales","7","4"
"3/10/2023","14:37:07","6","Weekend","3","First","First","Winter","2023","14:21:43","Easter Sales","8","8"
"3/11/2023","22:34:07","7","Weekend","3","First","First","Winter","2023","14:15:35","Easter Sales","4","3"
"3/12/2023","07:35:25","1","Workday","3","First","First","Winter","2023","13:24:49","Easter Sales","5","13"
"3/13/2023","07:05:06","2","Workday","3","First","First","Winter","2023","11:01:59","Easter Sales","6","9"
"3/14/2023","20:53:07","3","Workday","3","First","First","Winter","2023","11:39:38","Easter Sales","4","16"
"3/15/2023","21:04:33","4","Workday","3","First","First","Winter","2023","11:14:06","Easter Sales","9","17"
"3/16/2023","00:54:43","5","Workday","3","First","First","Winter","2023","11:58:14","Easter Sales","11","11"
"3/17/2023","01:12:26","6","Weekend","3","First","First","Winter","2023","13:30:59","Easter Sales","13","3"
"3/18/2023","06:28:32","7","Weekend","3","First","First","Winter","2023","12:53:43","Easter Sales","17","18"
"3/19/2023","11:42:16","1","Workday","3","First","First","Winter","2023","11:55:10","Easter Sales","6","18"
"3/20/2023","20:34:14","2","Workday","3","First","First","Winter","2023","13:29:32","Easter Sales","16","6"
"3/21/2023","07:35:33","3","Workday","3","First","First","Spring","2023","13:09:09","Easter Sales","2","1"
"3/22/2023","06:58:34","4","Workday","3","First","First","Spring","2023","13:30:07","Easter Sales","16","14"
"3/23/2023","03:56:23","5","Workday","3","First","First","Spring","2023","12:58:24","Easter Sales","15","12"
"3/24/2023","03:50:51","6","Weekend","3","First","First","Spring","2023","11:11:18","Easter Sales","3","10"
"3/25/2023","14:10:12","7","Weekend","3","First","First","Spring","2023","11:31:46","Easter Sales","14","18"
"3/26/2023","20:34:37","1","Workday","3","First","First","Spring","2023","14:42:25","Easter Sales","12","10"
"3/27/2023","02:50:18","2","Workday","3","First","First","Spring","2023","14:35:02","Easter Sales","5","13"
"3/28/2023","08:12:18","3","Workday","3","First","First","Spring","2023","11:36:12","Easter Sales","19","13"
"3/29/2023","00:15:09","4","Workday","3","First","First","Spring","2023","12:07:51","Easter Sales","3","1"
"3/30/2023","14:08:23","5","Workday","3","First","First","Spring","2023","11:09:06","Easter Sales","7","20"
"3/31/2023","15:58:38","6","Weekend","3","First","First","Spring","2023","13:10:39","Easter Sales","11","11"
"4/1/2023","02:20:36","7","Weekend","4","Second","First","Spring","2023","13:06:25","Easter Sales","13","18"
"4/2/2023","02:35:29","1","Workday","4","Second","First","Spring","2023","11:25:52","Easter Sales","20","15"
"4/3/2023","08:10:04","2","Workday","4","Second","First","Spring","2023","11:45:06","Easter Sales","17","16"
"4/4/2023","01:31:06","3","Workday","4","Second","First","Spring","2023","14:29:59","Easter Sales","3","2"
"4/5/2023","21:26:17","4","Workday","4","Second","First","Spring","2023","13:32:41","Easter Sales","7","19"
"4/6/2023","19:48:29","5","Workday","4","Second","First","Spring","2023","11:34:17","Easter Sales","7","11"
"4/7/2023","13:47:20","6","Weekend","4","Second","First","Spring","2023","13:19:09","Easter Sales","10","12"
"4/8/2023","07:33:27","7","Weekend","4","Second","First","Spring","2023","12:45:01","Easter Sales","19","13"
"4/9/2023","22:19:01","1","Workday","4","Second","First","Spring","2023","13:44:58","Easter Sales","7","1"
"4/10/2023","02:47:46","2","Workday","4","Second","First","Spring","2023","14:38:27","Easter Sales","12","12"
"4/11/2023","20:19:16","3","Workday","4","Second","First","Spring","2023","11:20:01","Easter Sales","19","8"
"4/12/2023","11:43:12","4","Workday","4","Second","First","Spring","2023","13:54:41","Easter Sales","15","5"
"4/13/2023","06:51:57","5","Workday","4","Second","First","Spring","2023","11:42:18","Easter Sales","15","14"
"4/14/2023","10:51:47","6","Weekend","4","Second","First","Spring","2023","11:53:35","Easter Sales","3","14"
"4/15/2023","08:53:35","7","Weekend","4","Second","First","Spring","2023","12:37:58","Easter Sales","3","15"
"4/16/2023","23:20:52","1","Workday","4","Second","First","Spring","2023","11:13:53","Easter Sales","14","8"
"4/17/2023","12:33:48","2","Workday","4","Second","First","Spring","2023","13:30:44","Easter Sales","11","7"
"4/18/2023","16:33:26","3","Workday","4","Second","First","Spring","2023","14:55:25","Easter Sales","9","19"
"4/19/2023","14:42:57","4","Workday","4","Second","First","Spring","2023","13:18:56","Easter Sales","11","16"
"4/20/2023","10:23:49","5","Workday","4","Second","First","Spring","2023","12:42:14","Easter Sales","12","5"
"4/21/2023","22:22:38","6","Weekend","4","Second","First","Spring","2023","12:00:30","Easter Sales","19","5"
"4/22/2023","22:26:06","7","Weekend","4","Second","First","Spring","2023","13:53:06","Easter Sales","6","19"
"4/23/2023","10:36:09","1","Workday","4","Second","First","Spring","2023","13:09:02","Easter Sales","14","15"
"4/24/2023","14:55:52","2","Workday","4","Second","First","Spring","2023","13:44:19","Easter Sales","15","16"
"4/25/2023","12:40:06","3","Workday","4","Second","First","Spring","2023","14:14:44","Easter Sales","2","2"
"4/26/2023","03:22:36","4","Workday","4","Second","First","Spring","2023","12:05:43","Easter Sales","12","20"
"4/27/2023","21:00:38","5","Workday","4","Second","First","Spring","2023","11:30:28","Easter Sales","18","14"
"4/28/2023","05:32:39","6","Weekend","4","Second","First","Spring","2023","12:40:01","Easter Sales","10","15"
"4/29/2023","13:52:07","7","Weekend","4","Second","First","Spring","2023","13:47:34","Easter Sales","8","15"
"4/30/2023","12:40:49","1","Workday","4","Second","First","Spring","2023","13:15:54","Easter Sales","9","1"
"5/1/2023","01:54:26","2","Workday","5","Second","First","Spring","2023","12:25:04","None","18","12"
"5/2/2023","15:10:52","3","Workday","5","Second","First","Spring","2023","14:49:29","None","7","12"
"5/3/2023","12:42:10","4","Workday","5","Second","First","Spring","2023","14:57:47","None","3","7"
"5/4/2023","08:34:52","5","Workday","5","Second","First","Spring","2023","11:19:17","None","15","6"
"5/5/2023","21:24:05","6","Weekend","5","Second","First","Spring","2023","13:38:23","None","16","15"
"5/6/2023","10:15:43","7","Weekend","5","Second","First","Spring","2023","11:53:19","None","17","5"
"5/7/2023","13:34:33","1","Workday","5","Second","First","Spring","2023","14:36:14","None","13","15"
"5/8/2023","10:02:05","2","Workday","5","Second","First","Spring","2023","11:37:46","None","3","1"
"5/9/2023","15:21:53","3","Workday","5","Second","First","Spring","2023","14:23:05","None","14","8"
"5/10/2023","11:16:00","4","Workday","5","Second","First","Spring","2023","14:44:19","None","6","9"
"5/11/2023","16:54:07","5","Workday","5","Second","First","Spring","2023","12:51:06","None","11","16"
"5/12/2023","00:20:58","6","Weekend","5","Second","First","Spring","2023","14:35:06","None","9","13"
"5/13/2023","05:36:29","7","Weekend","5","Second","First","Spring","2023","13:56:29","None","17","9"
"5/14/2023","01:44:35","1","Workday","5","Second","First","Spring","2023","11:32:45","None","13","1"
"5/15/2023","09:40:46","2","Workday","5","Second","First","Spring","2023","12:51:00","None","15","8"
"5/16/2023","13:53:13","3","Workday","5","Second","First","Spring","2023","13:39:18","None","4","9"
"5/17/2023","16:24:30","4","Workday","5","Second","First","Spring","2023","12:30:03","None","20","15"
"5/18/2023","17:36:59","5","Workday","5","Second","First","Spring","2023","14:43:31","None","1","18"
"5/19/2023","10:34:36","6","Weekend","5","Second","First","Spring","2023","13:56:18","None","7","7"
"5/20/2023","09:21:04","7","Weekend","5","Second","First","Spring","2023","12:40:46","None","20","15"
"5/21/2023","22:53:14","1","Workday","5","Second","First","Spring","2023","12:18:32","None","15","3"
"5/22/2023","08:00:26","2","Workday","5","Second","First","Spring","2023","14:43:04","None","12","20"
"5/23/2023","00:14:30","3","Workday","5","Second","First","Spring","2023","11:04:50","None","15","12"
"5/24/2023","09:43:42","4","Workday","5","Second","First","Spring","2023","12:07:11","None","7","9"
"5/25/2023","14:27:48","5","Workday","5","Second","First","Spring","2023","14:57:46","None","19","17"
"5/26/2023","09:55:47","6","Weekend","5","Second","First","Spring","2023","13:13:03","None","3","11"
"5/27/2023","05:49:47","7","Weekend","5","Second","First","Spring","2023","11:16:40","None","20","17"
"5/28/2023","07:20:52","1","Workday","5","Second","First","Spring","2023","11:55:48","None","19","10"
"5/29/2023","19:06:28","2","Workday","5","Second","First","Spring","2023","14:59:30","None","16","2"
"5/30/2023","22:50:40","3","Workday","5","Second","First","Spring","2023","11:35:59","None","19","5"
"5/31/2023","17:54:27","4","Workday","5","Second","First","Spring","2023","11:54:21","None","17","4"
"6/1/2023","23:27:53","5","Workday","6","Second","First","Spring","2023","13:56:40","None","9","6"
"6/2/2023","04:45:25","6","Weekend","6","Second","First","Spring","2023","13:59:57","None","15","10"
"6/3/2023","23:00:27","7","Weekend","6","Second","First","Spring","2023","13:59:24","None","12","14"
"6/4/2023","06:44:02","1","Workday","6","Second","First","Spring","2023","13:47:38","None","10","6"
"6/5/2023","15:55:39","2","Workday","6","Second","First","Spring","2023","12:57:02","None","11","12"
"6/6/2023","01:33:00","3","Workday","6","Second","First","Spring","2023","13:20:27","None","8","5"
"6/7/2023","20:53:21","4","Workday","6","Second","First","Spring","2023","12:36:36","None","2","3"
"6/8/2023","03:06:18","5","Workday","6","Second","First","Spring","2023","14:23:37","None","14","18"
"6/9/2023","03:11:26","6","Weekend","6","Second","First","Spring","2023","14:03:43","None","2","11"
"6/10/2023","07:09:59","7","Weekend","6","Second","First","Spring","2023","11:01:06","None","19","10"
