"dateid","product_name","warehouse","totalstockmovement"
,,,175573
2023-02-03,Bespoke Concrete Soap,CPT2 - Amazon Capetown,26
2023-11-19,Bespoke Concrete Soap,SAD1 - Amazon San Diego,28
2023-02-13,Elegant Metal Ball,TKY6 - Amazon Tokyo,11
2023-09-18,Electronic Granite Fish,DEH8 - Amazon Den Haag,26
2023-06-03,Intelligent Frozen Computer,MXP5 - Amazon Castel San Giovanni,11
2023-12-06,Small Bronze Shirt,SAP1 - Amazon San Paolo,12
2023-02-20,Awesome Concrete Chicken,MIS1 - Amazon Mississauga,19
2023-11-19,Tasty Steel Towels,CHI1 - Amazon Chicago,27
2023-08-04,Small Wooden Bike,CPN3 - Amazon Copenaghen,28
2023-09-05,Tasty Metal Computer,FCO1 - Amazon Passo Corese,13
2023-11-01,Handcrafted Wooden Table,LIS3 - Amazon Lisbon,25
2023-05-02,Rustic Bronze Chair,LCY1 - Amazon London,5
2023-03-18,Gorgeous Metal Pants,BOG2 - Amazon Bogota,13
2023-01-07,Recycled Metal Chips,BCR2 - Amazon Bucarest,12
2023-12-28,Small Fresh Tuna,HKG1 - Amazon Hong Kong,20
2023-04-09,Handcrafted Metal Tuna,NYC1 - Amazon New York City,23
2023-03-04,Refined Soft Ball,SHA1 - Amazon Shanghai,15
2023-08-12,Oriental Fresh Bacon,DUB19 - Amazon Dublin,15
2023-12-19,Licensed Bronze Shirt,SAD1 - Amazon San Diego,25
2023-11-17,Elegant Plastic Table,CPN3 - Amazon Copenaghen,26
2023-11-04,Recycled Metal Salad,SHA1 - Amazon Shanghai,23
2023-09-03,Sleek Plastic Table,ZRH13 - Amazon Zurich,11
2023-08-23,Ergonomic Concrete Shirt,NDH1  - Amazon New Delhi,15
2023-02-27,Bespoke Concrete Ball,FCO1 - Amazon Passo Corese,6
2023-12-14,Refined Soft Ball,CGN1 - Amazon Koblenz,25
2023-01-07,Unbranded Metal Keyboard,MRS1 - Amazon Montelimar,12
2023-11-22,Luxurious Concrete Table,MIS1 - Amazon Mississauga,28
2023-11-09,Unbranded Granite Gloves,SAD1 - Amazon San Diego,13
2023-02-19,Sleek Wooden Gloves,PHX7 - Amazon Phoenix,19
2023-12-03,Oriental Plastic Computer,BOG2 - Amazon Bogota,18
2023-08-29,Awesome Concrete Chicken,HOU2 - Amazon Houston,7
2023-01-08,Gorgeous Metal Pants,ORY1 - Amazon Saran,24
2023-01-13,Rustic Steel Towels,SAD1 - Amazon San Diego,21
2023-07-11,Bespoke Metal Chips,BCN1 - Amazon El Prat de Llobregat,11
2023-04-10,Sleek Concrete Sausages,SYD1 - Amazon Sidney,10
2023-11-20,Bespoke Fresh Bacon,DUB19 - Amazon Dublin,25
2023-05-15,Electronic Frozen Chips,TOR1 - Amazon Toronto,17
2023-10-25,Oriental Fresh Chicken,FCO1 - Amazon Passo Corese,16
2023-10-22,Generic Wooden Chips,SAP1 - Amazon San Paolo,22
2023-08-10,Recycled Fresh Pizza,LCY1 - Amazon London,10
2023-04-01,Practical Metal Keyboard,ZRH13 - Amazon Zurich,27
