dateid;warehouse;totalstockmovement
NULL;NULL;175573
15/02/2023;NULL;454
08/06/2023;NULL;490
10/06/2023;NULL;490
20/06/2023;NULL;520
24/09/2023;NULL;497
27/01/2023;NULL;521
25/02/2023;NULL;406
24/07/2023;NULL;518
06/04/2023;NULL;523
08/09/2023;NULL;522
24/05/2023;NULL;489
23/01/2023;NULL;505
20/04/2023;NULL;464
04/12/2023;NULL;455
05/10/2023;NULL;422
23/02/2023;NULL;507
05/11/2023;NULL;391
20/05/2023;NULL;536
09/09/2023;NULL;433
25/08/2023;NULL;469
21/12/2023;NULL;498
05/08/2023;NULL;462
13/07/2023;NULL;434
03/09/2023;NULL;406
19/04/2023;NULL;430
11/06/2023;NULL;450
06/09/2023;NULL;504
25/06/2023;NULL;487
29/08/2023;NULL;536
05/07/2023;NULL;525
18/05/2023;NULL;404
05/06/2023;NULL;554
28/02/2023;NULL;574
14/01/2023;NULL;505
30/12/2023;NULL;431
09/10/2023;NULL;488
13/03/2023;NULL;426
27/09/2023;NULL;492
21/11/2023;NULL;503
01/10/2023;NULL;407
24/11/2023;NULL;559
22/05/2023;NULL;469
12/06/2023;NULL;435
22/07/2023;NULL;543
17/03/2023;NULL;616
28/01/2023;NULL;477
10/01/2023;NULL;518
26/07/2023;NULL;513
08/05/2023;NULL;473
15/03/2023;NULL;517
06/01/2023;NULL;452
13/10/2023;NULL;456
10/02/2023;NULL;475
12/04/2023;NULL;547
17/09/2023;NULL;458
20/01/2023;NULL;431
20/11/2023;NULL;377
26/02/2023;NULL;476
05/02/2023;NULL;507
16/09/2023;NULL;542
02/04/2023;NULL;503
09/04/2023;NULL;518
06/03/2023;NULL;499
05/05/2023;NULL;510
04/07/2023;NULL;530
29/03/2023;NULL;503
06/06/2023;NULL;463
03/10/2023;NULL;417
05/09/2023;NULL;517
13/05/2023;NULL;513
08/07/2023;NULL;469
24/08/2023;NULL;415
30/03/2023;NULL;550
16/11/2023;NULL;512
15/09/2023;NULL;483
09/05/2023;NULL;526
30/10/2023;NULL;529
18/08/2023;NULL;477
06/02/2023;NULL;450
29/07/2023;NULL;467
11/10/2023;NULL;433
19/06/2023;NULL;455
29/10/2023;NULL;506
21/03/2023;NULL;454
12/07/2023;NULL;426
26/06/2023;NULL;519
17/11/2023;NULL;486
16/10/2023;NULL;521
19/08/2023;NULL;473
14/06/2023;NULL;440
28/03/2023;NULL;532
27/02/2023;NULL;446
16/12/2023;NULL;496
05/04/2023;NULL;537
17/10/2023;NULL;519
20/08/2023;NULL;560
08/01/2023;NULL;443
12/02/2023;NULL;513
19/12/2023;NULL;502
06/12/2023;NULL;499
04/09/2023;NULL;452
16/08/2023;NULL;506
09/06/2023;NULL;419
22/12/2023;NULL;421
31/10/2023;NULL;390
20/07/2023;NULL;507
03/02/2023;NULL;486
26/03/2023;NULL;501
02/10/2023;NULL;507
12/12/2023;NULL;473
15/12/2023;NULL;520
03/08/2023;NULL;480
27/11/2023;NULL;428
21/04/2023;NULL;444
11/11/2023;NULL;507
03/01/2023;NULL;503
06/11/2023;NULL;474
23/04/2023;NULL;472
23/03/2023;NULL;464
20/02/2023;NULL;476
04/01/2023;NULL;500
27/03/2023;NULL;453
08/08/2023;NULL;435
28/05/2023;NULL;438
04/03/2023;NULL;491
21/02/2023;NULL;525
28/08/2023;NULL;469
26/09/2023;NULL;553
06/05/2023;NULL;487
13/02/2023;NULL;478
21/01/2023;NULL;471
06/10/2023;NULL;504
23/07/2023;NULL;387
09/01/2023;NULL;436
05/12/2023;NULL;446
17/06/2023;NULL;487
20/10/2023;NULL;470
03/03/2023;NULL;496
25/09/2023;NULL;492
28/06/2023;NULL;471
01/07/2023;NULL;463
10/05/2023;NULL;463
24/03/2023;NULL;530
31/08/2023;NULL;463
07/11/2023;NULL;509
24/12/2023;NULL;535
22/10/2023;NULL;537
20/09/2023;NULL;586
13/12/2023;NULL;446
01/12/2023;NULL;526
15/07/2023;NULL;542
29/09/2023;NULL;425
15/05/2023;NULL;552
18/09/2023;NULL;548
14/03/2023;NULL;461
23/09/2023;NULL;491
21/09/2023;NULL;472
13/04/2023;NULL;425
24/02/2023;NULL;499
14/12/2023;NULL;504
01/08/2023;NULL;477
12/03/2023;NULL;510
25/10/2023;NULL;430
19/09/2023;NULL;511
26/04/2023;NULL;536
08/04/2023;NULL;467
01/11/2023;NULL;457
30/05/2023;NULL;520
24/10/2023;NULL;430
23/08/2023;NULL;479
04/06/2023;NULL;475
07/05/2023;NULL;489
21/05/2023;NULL;543
18/04/2023;NULL;448
09/02/2023;NULL;496
01/03/2023;NULL;407
24/01/2023;NULL;517
01/01/2023;NULL;488
06/08/2023;NULL;483
02/03/2023;NULL;432
07/03/2023;NULL;441
12/01/2023;NULL;500
22/09/2023;NULL;429
25/07/2023;NULL;395
03/07/2023;NULL;531
20/12/2023;NULL;470
02/08/2023;NULL;429
10/04/2023;NULL;491
26/05/2023;NULL;445
16/03/2023;NULL;471
19/01/2023;NULL;536
15/04/2023;NULL;509
03/06/2023;NULL;412
19/07/2023;NULL;392
02/06/2023;NULL;456
09/03/2023;NULL;529
11/05/2023;NULL;440
29/11/2023;NULL;470
11/08/2023;NULL;515
08/03/2023;NULL;502
27/07/2023;NULL;433
23/12/2023;NULL;448
23/05/2023;NULL;490
12/09/2023;NULL;489
31/12/2023;NULL;405
09/08/2023;NULL;429
07/08/2023;NULL;537
16/04/2023;NULL;457
22/11/2023;NULL;459
07/10/2023;NULL;403
11/07/2023;NULL;520
11/02/2023;NULL;448
28/07/2023;NULL;414
13/08/2023;NULL;445
17/07/2023;NULL;513
18/11/2023;NULL;523
26/10/2023;NULL;502
01/04/2023;NULL;523
12/05/2023;NULL;536
21/08/2023;NULL;534
04/02/2023;NULL;484
07/09/2023;NULL;504
27/05/2023;NULL;457
25/05/2023;NULL;462
27/04/2023;NULL;449
27/08/2023;NULL;466
15/01/2023;NULL;465
08/12/2023;NULL;446
16/06/2023;NULL;529
21/10/2023;NULL;444
10/09/2023;NULL;467
19/03/2023;NULL;393
29/12/2023;NULL;466
30/07/2023;NULL;499
10/03/2023;NULL;535
31/01/2023;NULL;480
16/01/2023;NULL;466
22/06/2023;NULL;469
28/09/2023;NULL;580
05/03/2023;NULL;517
15/11/2023;NULL;510
13/06/2023;NULL;505
17/02/2023;NULL;472
14/09/2023;NULL;461
05/01/2023;NULL;517
10/12/2023;NULL;437
02/09/2023;NULL;455
03/04/2023;NULL;443
23/10/2023;NULL;489
27/06/2023;NULL;470
11/04/2023;NULL;469
08/10/2023;NULL;470
25/03/2023;NULL;548
14/08/2023;NULL;499
14/05/2023;NULL;522
19/02/2023;NULL;456
13/11/2023;NULL;414
14/10/2023;NULL;422
23/11/2023;NULL;466
01/06/2023;NULL;492
15/06/2023;NULL;466
26/08/2023;NULL;469
21/07/2023;NULL;513
18/06/2023;NULL;444
18/02/2023;NULL;510
12/11/2023;NULL;487
18/10/2023;NULL;478
27/10/2023;NULL;479
26/12/2023;NULL;529
01/09/2023;NULL;520
02/01/2023;NULL;552
29/05/2023;NULL;472
07/06/2023;NULL;456
29/01/2023;NULL;491
15/10/2023;NULL;481
26/01/2023;NULL;521
12/10/2023;NULL;420
30/04/2023;NULL;529
25/04/2023;NULL;513
07/04/2023;NULL;473
03/12/2023;NULL;515
08/11/2023;NULL;446
15/08/2023;NULL;505
28/11/2023;NULL;491
10/10/2023;NULL;448
10/08/2023;NULL;452
17/08/2023;NULL;459
20/03/2023;NULL;508
06/07/2023;NULL;515
11/09/2023;NULL;424
12/08/2023;NULL;477
14/02/2023;NULL;500
22/04/2023;NULL;485
19/11/2023;NULL;482
17/05/2023;NULL;478
16/02/2023;NULL;481
30/01/2023;NULL;528
11/01/2023;NULL;486
29/06/2023;NULL;494
31/05/2023;NULL;513
04/04/2023;NULL;451
13/01/2023;NULL;560
01/05/2023;NULL;487
29/04/2023;NULL;448
17/01/2023;NULL;420
07/12/2023;NULL;402
23/06/2023;NULL;438
30/08/2023;NULL;514
14/07/2023;NULL;463
21/06/2023;NULL;491
18/03/2023;NULL;480
31/03/2023;NULL;487
07/07/2023;NULL;423
09/12/2023;NULL;468
25/01/2023;NULL;430
28/12/2023;NULL;449
30/11/2023;NULL;451
22/08/2023;NULL;505
14/04/2023;NULL;475
04/10/2023;NULL;514
04/11/2023;NULL;489
14/11/2023;NULL;470
01/02/2023;NULL;470
07/01/2023;NULL;512
07/02/2023;NULL;523
22/03/2023;NULL;477
02/12/2023;NULL;437
26/11/2023;NULL;474
09/11/2023;NULL;432
19/05/2023;NULL;510
18/12/2023;NULL;463
11/12/2023;NULL;471
16/05/2023;NULL;442
10/11/2023;NULL;474
09/07/2023;NULL;492
02/02/2023;NULL;537
22/01/2023;NULL;512
02/05/2023;NULL;522
22/02/2023;NULL;548
11/03/2023;NULL;535
03/11/2023;NULL;444
16/07/2023;NULL;420
31/07/2023;NULL;470
03/05/2023;NULL;462
24/06/2023;NULL;522
18/07/2023;NULL;416
28/10/2023;NULL;493
19/10/2023;NULL;455
30/09/2023;NULL;464
17/04/2023;NULL;494
08/02/2023;NULL;446
17/12/2023;NULL;457
02/11/2023;NULL;527
24/04/2023;NULL;531
18/01/2023;NULL;508
02/07/2023;NULL;433
28/04/2023;NULL;492
04/08/2023;NULL;514
04/05/2023;NULL;425
10/07/2023;NULL;481
30/06/2023;NULL;503
27/12/2023;NULL;542
25/11/2023;NULL;430
25/12/2023;NULL;468
13/09/2023;NULL;503
NULL;POZ1 - Amazon Sady;3806
NULL;NDH1  - Amazon New Delhi;3824
NULL;MXC2 - Amazon Mexico City;3728
NULL;LCY1 - Amazon London;3915
NULL;MIS1 - Amazon Mississauga;4012
NULL;DBA1 - Amazon Dubai;3926
NULL;SAP1 - Amazon San Paolo;3951
NULL;HOU2 - Amazon Houston;3809
NULL;CAI1 - Amazon El Cairo;3859
NULL;WEL1 - Amazon Wels;4232
NULL;MAN1 - Amazon Manchester;3762
NULL;DUB19 - Amazon Dublin;3970
NULL;BUE1 - Amazon Buenos Aires;3800
NULL;CWL1 - Amazon Swansea;4052
NULL;DEH8 - Amazon Den Haag;4045
NULL;BCR2 - Amazon Bucarest;3886
NULL;LUX16 - Amazon Luxemburg;3688
NULL;BCN1 - Amazon El Prat de Llobregat;3874
NULL;MIA1 - Amazon Miami;3865
NULL;CPT2 - Amazon Capetown;3970
NULL;SAD1 - Amazon San Diego;3845
NULL;BVA1 - Amazon Boves;3953
NULL;ORY1 - Amazon Saran;4076
NULL;ZRH13 - Amazon Zurich;3972
NULL;HKG1 - Amazon Hong Kong;3856
NULL;MRS1 - Amazon Montelimar;4006
NULL;SVQ1 - Amazon Sevilla;3743
NULL;CHI1 - Amazon Chicago;3866
NULL;BER3 - Amazon Brieselang;3849
NULL;NYC1 - Amazon New York City;3912
NULL;CPN3 - Amazon Copenaghen;4043
NULL;FCO1 - Amazon Passo Corese;3910
NULL;LIS3 - Amazon Lisbon;4018
NULL;BER6 - Amazon Berlin;3810
NULL;PHX7 - Amazon Phoenix;3931
NULL;TOR1 - Amazon Toronto;3902
NULL;SHA1 - Amazon Shanghai;3913
NULL;SYD1 - Amazon Sidney;3790
NULL;MXP5 - Amazon Castel San Giovanni;3842
NULL;TKY6 - Amazon Tokyo;3788
NULL;LAS7 - Amazon Las Vegas;3877
NULL;BRX2 - Amazon Bruxelles;3875
NULL;DUS2 - Amazon Rheinberg;3968
NULL;BOG2 - Amazon Bogota;3828
NULL;CGN1 - Amazon Koblenz;4026
