productid;product_name;customer_rating;ratingquartile
144e5a05-788b-4880-9ac4-ffa2065ab07c;Gorgeous Metal Fish;5.00;1
b6085d5b-4ebd-465f-bce0-d444e58c7d04;Modern Cotton Pants;4.99;1
db5ed845-e645-4b8e-8076-6d2af52a6661;Recycled Bronze Table;4.98;1
a237d8b6-3eb2-4a3a-99c1-145ceba9c87c;Practical Bronze Shirt;4.95;1
8cc75349-3ffc-460d-b336-a4168946c9c4;Ergonomic Bronze Table;4.89;1
01ec303d-d9b8-45ac-9952-42b7a94d57f7;Generic Wooden Chips;4.88;1
5b003f36-eee5-43aa-9552-14bdf0d1a32a;Practical Concrete Towels;4.84;1
196175ad-1007-469c-bc7f-7ad084f88e17;Small Fresh Tuna;4.83;1
247183ca-7bfd-472b-872d-47d9256d9e3c;Elegant Plastic Table;4.79;1
6bd0eb2e-c25d-4161-848b-6cd1d4c919cd;Incredible Wooden Chips;4.78;1
90e73dcd-7897-42e5-bad8-1a8d76cb29e9;Oriental Steel Shirt;4.78;1
ffbaaffc-c403-499b-ab5e-e45141341a90;Ergonomic Soft Hat;4.77;1
3d774895-d049-4c69-99b9-14e4e6292b5c;Small Metal Shirt;4.75;1
4bec2e43-9688-40b0-aff6-f4c1dc7e38d8;Practical Wooden Gloves;4.68;1
a8511735-a96d-4c0f-b2ba-0cd798dbe6db;Handcrafted Steel Gloves;4.68;1
9d0b1e28-fcef-47df-8ef8-7d4f6fceceeb;Elegant Cotton Chips;4.66;1
39caf913-d26d-4f2f-b9dc-e0a78195cde0;Elegant Metal Pizza;4.63;1
c0888034-f2f6-4205-83a2-f0bd5f052c87;Bespoke Fresh Bacon;4.61;1
735be0d8-fa08-4140-b664-a17c92bf7651;Luxurious Soft Tuna;4.57;1
8eb400b4-6396-4677-969b-bb48971f4c88;Modern Concrete Soap;4.57;1
b348dfaf-00ca-4ca9-a9c3-380b9161ee19;Licensed Wooden Chair;4.54;1
c4e4a808-c1e7-422f-84ac-2c95281a6a8e;Electronic Cotton Chair;4.49;1
9f77274d-54c9-4bd8-9428-f5a24168ae1b;Bespoke Metal Cheese;4.48;1
f988af70-e8cf-4f8d-92c9-cc6246a7deb9;Tasty Metal Computer;4.37;1
911a3cbd-2e09-4951-b3b2-b08d0be8e4a6;Refined Soft Ball;4.34;1
3e603d74-2516-4337-b8eb-9cab8c004570;Generic Granite Mouse;4.33;1
84f4e11b-b7e3-46e9-9b60-88874f66ee0f;Licensed Soft Salad;4.31;1
b24dd980-46b0-476e-b6e6-635ce6bf339f;Recycled Soft Fish;4.31;1
815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;4.30;1
0b90caf9-3a41-46f4-8c2d-d9234bd68e92;Intelligent Cotton Pizza;4.27;1
