dateid;productid;product_name;runningtotaldispatcheditems
03/01/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;16
09/01/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;37
18/01/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;48
23/01/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;59
28/01/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;64
03/02/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;90
07/02/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;103
12/02/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;127
17/02/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;151
23/02/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;173
27/02/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;179
04/03/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;207
09/03/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;224
15/03/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;250
24/03/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;273
29/03/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;288
03/04/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;314
09/04/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;335
13/04/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;343
18/04/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;356
23/04/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;380
29/04/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;399
03/05/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;419
08/05/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;426
13/05/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;455
19/05/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;463
23/05/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;479
28/05/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;507
02/06/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;526
08/06/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;548
17/06/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;572
22/06/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;592
27/06/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;614
03/07/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;632
07/07/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;650
12/07/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;680
17/07/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;697
23/07/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;714
27/07/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;732
01/08/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;748
06/08/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;759
12/08/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;780
21/08/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;802
26/08/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;825
31/08/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;838
06/09/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;860
10/09/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;875
15/09/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;901
20/09/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;922
26/09/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;949
30/09/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;970
05/10/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;985
10/10/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;994
16/10/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;1020
25/10/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;1048
30/10/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;1073
05/11/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;1086
14/11/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;1097
19/11/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;1125
24/11/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;1152
30/11/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;1174
04/12/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;1203
09/12/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;1230
14/12/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;1236
20/12/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;1252
24/12/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;1282
29/12/2023;815ce42f-1dbb-4c51-8aac-8308a240aa2d;Bespoke Concrete Soap;1311
