"region,""totalstockmovement"""
Ontario,7914
Linz,4232
Loira,4076
Galles,4052
Aia,4045
Copenaghen,4043
Reno,4026
Amadora,4018
Alvernia Rodano Alpi,4006
Zurich Canton,3972
Dublin,3970
Capetown,3970
Dusseldurf,3968
Boves,3953
San Paolo,3951
Arizona,3931
Dubai,3926
London,3915
Shanghai,3913
New York,3912
Lazio,3910
Bucarest,3886
Nevada,3877
Bruxelles,3875
Catalunya,3874
Illinois,3866
Florida,3865
Giza,3859
Hong Kong,3856
Havelland,3849
California,3845
Emilia Romagna,3842
Bogota,3828
Delhi,3824
Brandeburgo,3810
Texas,3809
Nowy Dwor,3806
Pampa,3800
South Galles,3790
Yokohama,3788
Manchester,3762
Andalusia,3743
Mexico Valley,3728
Luxemburg,3688
